"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"54","Case Keenum (CLE)","30","48","62.5","286","6.0","1","0","4","7","7","0","0","4","16.1","4.0","0.3%"
"55","Jordan Love (GB)","26","45","57.8","277","6.2","1","1","2","11","28","0","1","5","14.9","3.0","1.2%"
"56","Sean Mannion (MIN)","22","36","61.1","189","5.3","1","0","2","2","14","0","0","1","13.0","13.0","0.8%"
"57","Marcus Mariota (LV)","0","1","0.0","0","0.0","0","0","0","9","64","1","0","6","12.4","2.1","0.2%"
"58","Brian Hoyer (NE)","9","11","81.8","227","20.6","1","0","0","11","-8","0","0","5","12.3","2.5","0.0%"
"59","Nick Mullens (CLE)","20","30","66.7","147","4.9","1","0","0","0","0","0","0","1","9.9","9.9","0.7%"
"60","Mitchell Trubisky (BUF)","5","7","71.4","28","4.0","0","1","0","10","27","1","0","4","8.8","2.2","0.4%"
"61","Kyle Allen (WAS)","12","19","63.2","120","6.3","1","0","2","2","11","0","1","2","7.9","4.0","0.1%"
"62","Garrett Gilbert (WAS)","20","31","64.5","194","6.3","0","0","2","0","0","0","0","1","7.8","7.8","0.1%"
"63","Jake Fromm (NYG)","12","29","41.4","107","3.7","0","1","3","3","12","0","0","2","4.5","2.3","0.7%"
"64","Brandon Allen (CIN)","2","5","40.0","13","2.6","1","0","0","6","-4","0","0","4","4.1","1.0","0.1%"
"65","Ian Book (NO)","12","20","60.0","135","6.8","0","2","8","3","6","0","0","1","4.0","4.0","0.9%"
"66","Chad Henne (KC)","11","16","68.8","82","5.1","0","0","0","8","0","0","0","4","3.3","0.8","0.1%"
"67","Chris Streveler (BAL)","6","9","66.7","36","4.0","0","0","2","3","6","0","0","2","2.0","1.0","0.0%"
"68","Blaine Gabbert (TB)","7","9","77.8","67","7.4","0","0","1","8","-6","0","0","5","2.0","0.4","0.1%"
"69","C.J. Beathard (JAC)","2","2","100.0","33","16.5","0","0","0","1","2","0","0","2","1.5","0.8","0.0%"
"70","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","3","9","0","0","3","0.9","0.3","0.2%"
"71","Ryan Fitzpatrick (WAS)","3","6","50.0","13","2.2","0","0","1","1","2","0","0","1","0.7","0.7","6.0%"
"72","David Blough (DET)","0","0","0","0","0","0","0","1","1","6","0","0","1","0.6","0.6","0.0%"
"73","Nathan Peterman (LV)","0","0","0","0","0","0","0","0","2","2","0","0","1","0.2","0.2","0.1%"
"74","Kellen Mond (MIN)","2","3","66.7","5","1.7","0","0","0","0","0","0","0","2","0.2","0.1","0.2%"
"75","Reid Sinnett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Tommy Stevens (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"77","Jalen Morton (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Case Cookus (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Ben DiNucci (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"80","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"81","Alex McGough (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Dwayne Haskins (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"83","Jarrett Stidham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Eric Dungey (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Trace McSorley (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"88","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Brett Rypien (DEN)","0","2","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Jake Luton (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Brian Lewerke (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","James Morgan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Jacob Eason (SEA)","2","5","40.0","25","5.0","0","1","0","0","0","0","0","1","0.0","0.0","0.1%"
"94","Steven Montez (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Bryce Perkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Shane Buechele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Anthony Gordon (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","John David Booty (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Brian Brohm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Keith Null (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Tyler Bray (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Nate Sudfeld (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Kevin Hogan (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Jeff Driskel (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Joshua Dobbs (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Chad Kelly (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Deshaun Watson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9%"
"113","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","AJ McCarron (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Blake Bortles (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Ryan Griffin (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","David Fales (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Brett Hundley (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Ryan Willis (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Kurt Benkert (GB)","0","0","0","0","0","0","0","0","2","-1","0","0","1","-0.1","-0.1","0.0%"
"121","Chase Daniel (LAC)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.1%"
"122","Davis Webb (BUF)","0","0","0","0","0","0","0","0","2","-3","0","0","1","-0.3","-0.3","0.0%"
"123","Feleipe Franks (ATL)","0","1","0.0","0","0.0","0","1","0","3","6","0","0","6","-0.4","-0.1","0.0%"
"124","Logan Woodside (TEN)","0","0","0","0","0","0","0","0","6","-6","0","0","4","-0.6","-0.2","0.0%"
"125","John Wolford (LAR)","1","4","25.0","5","1.3","0","1","1","2","-1","0","0","2","-0.9","-0.5","0.1%"
"126","Josh Rosen (ATL)","2","11","18.2","19","1.7","0","2","0","0","0","0","0","3","-1.2","-0.4","0.0%"
""
""
